crewlistID,vesselID,vessel,rig,masterID,master,voyageID,voyage,list_date,port,custom_house,destination,source,images,inbound_date,transcriber,scan
AC000041,AS0791,"A. B. Cook",Brig,AM1818,"Field, Wells S.",AV00004,"A. B. Cook  : 1868-1873",1868-Aug-04,,"New Bedford",,NB,,NULL,NULL,NULL
AC000061,AS0743,"A. E. Whyland",Schr,AM1055,"Cleveland, Benjamin D.",AV00006,"A. E. Whyland : 1910",1910-Apr-26,,"New Bedford",,NB,,NULL,NULL,NULL
AC000071,AS0743,"A. E. Whyland",Schr,AM4045,"Reed, Edwin J.",AV00007,"A. E. Whyland : 1910-1912",1910-Oct-11,,"New Bedford",,NB,,NULL,NULL,NULL
AC000081,AS0743,"A. E. Whyland",Schr,AM3155,"Lopes, Louis M.",AV00008,"A. E. Whyland : 1912-1914",1912-Jul-27,,"New Bedford",,NB,,NULL,NULL,NULL
AC000091,AS0743,"A. E. Whyland",Schr,AM3155,"Lopes, Louis M.",AV00009,"A. E. Whyland : 1915",1915-Mar-14,,"New Bedford",,NB,,NULL,NULL,NULL
AC000111,AS0807,"A. Houghton",bark,AM3313,"Marble, John C.",AV00011,"A. Houghton : 1853-1857",1853-Jun-27,"Fall River","Fall River","Atlantic, elsewhere","NARA Waltham",,NULL,NULL,NULL
AC000121,AS0807,"A. Houghton",bark,AM4119,"Robinson, Orlando G.",AV00012,"A. Houghton : 1857-1861",1857-Jul-07,"Fall River","Fall River","Atlantic, Pacific","NARA Waltham 462",,NULL,NULL,NULL
AC000131,AS0807,"A. Houghton",Bark,AM4378,"Sinclair, James G.",AV00013,"A. Houghton : 1876-1877",1876-May-23,,"New Bedford",,NB,,NULL,NULL,NULL
AC000141,AS0431,"A. J. Ross",Brig,AM2832,"Hyatt, James N.",AV00014,"A. J. Ross    : 1877-1878",1877-Jul-16,,"New Bedford",,NB,,NULL,NULL,NULL
AC000151,AS0431,"A. J. Ross",Brig,AM4378,"Sinclair, James G.",AV00015,"A. J. Ross : 1878-1878",1878-May-14,,"New Bedford",,NB,,NULL,NULL,NULL
AC000191,AS0745,"A. M. Nicholson",Schr,AM4501,"Smith, Horace Perry",AV00019,"A. M. Nicholson : 1909-1910",1909-Sep-29,,"New Bedford",,NB,,NULL,NULL,NULL
AC000201,AS0745,"A. M. Nicholson",Schr,AM4501,"Smith, Horace Perry",AV00020,"A. M. Nicholson : 1911",1911-May-03,,"New Bedford",,NB,,NULL,NULL,NULL
AC000211,AS0745,"A. M. Nicholson",Schr,AM4501,"Smith, Horace Perry",AV00021,"A. M. Nicholson : 1912",1912-May-01,,"New Bedford",,NB,,NULL,NULL,NULL
AC000221,AS0745,"A. M. Nicholson",Schr,AM4501,"Smith, Horace Perry",AV00022,"A. M. Nicholson : 1913",1913-Feb-11,,"New Bedford",,NB,,NULL,NULL,NULL
AC000251,AS0745,"A. M. Nicholson",Schr,AM0963,"Church, Charles S.",AV00025,"A. M. Nicholson : 1914-1916",1914-Apr-23,,"New Bedford",,NB,,NULL,NULL,NULL
AC000261,AS0745,"A. M. Nicholson",Schr,AM2249,"Gonsalves, John Teofilo",AV00026,"A. M. Nicholson : 1917",1917-Feb-05,,"New Bedford",,NB,,NULL,NULL,NULL
AC000271,AS0745,"A. M. Nicholson",Schr,AM2249,"Gonsalves, John Teofilo",AV00027,"A. M. Nicholson : 1917",1917-Jun-26,,"New Bedford",,NB,,NULL,NULL,NULL
AC000281,AS0745,"A. M. Nicholson",Schr,AM2249,"Gonsalves, John Teofilo",AV00028,"A. M. Nicholson : 1917-1918",1917-Oct-02,,"New Bedford",,NB,,NULL,NULL,NULL
AC000291,AS0745,"A. M. Nicholson",Schr,AM5595,"Chace, Charles Albert",AV00029,"A. M. Nicholson : 1918",1918-Oct-14,,"New Bedford",,NB,,NULL,NULL,NULL
